AI Method,Ghost Method,Time (s),Score,Level
310,RLPacMan,MyGhosts,19.80,1560,1
311,RLPacMan,MyGhosts,21.98,1600,1
312,RLPacMan,MyGhosts,33.27,2170,1
313,RLPacMan,MyGhosts,76.72,3250,2
314,RLPacMan,MyGhosts,21.37,2050,1
315,RLPacMan,MyGhosts,72.18,4150,2
316,RLPacMan,MyGhosts,25.92,2330,1
317,RLPacMan,MyGhosts,21.65,1910,1
318,RLPacMan,MyGhosts,34.98,2800,1
319,RLPacMan,MyGhosts,50.73,2060,1
320,RLPacMan,MyGhosts,20.50,1850,1
321,RLPacMan,MyGhosts,22.65,1480,1
322,RLPacMan,MyGhosts,24.93,2670,1
323,RLPacMan,MyGhosts,17.78,2080,1
324,RLPacMan,MyGhosts,28.57,2190,1
325,RLPacMan,MyGhosts,18.13,1510,1
326,RLPacMan,MyGhosts,35.73,2380,1
327,RLPacMan,MyGhosts,28.67,2120,1
328,RLPacMan,MyGhosts,22.42,2580,1
329,RLPacMan,MyGhosts,15.65,2800,1
330,RLPacMan,MyGhosts,34.75,2310,1
331,RLPacMan,MyGhosts,38.97,2130,1
332,RLPacMan,MyGhosts,29.05,2180,1
333,RLPacMan,MyGhosts,20.75,1940,1
334,RLPacMan,MyGhosts,18.08,1500,1
335,RLPacMan,MyGhosts,38.58,2520,1
336,RLPacMan,MyGhosts,30.12,1960,1
337,RLPacMan,MyGhosts,27.55,2460,1
338,RLPacMan,MyGhosts,38.53,1900,1
339,RLPacMan,MyGhosts,20.67,2080,1
340,RLPacMan,MyGhosts,50.73,2760,1
341,RLPacMan,MyGhosts,17.73,1750,1
342,RLPacMan,MyGhosts,29.12,2900,1
343,RLPacMan,MyGhosts,24.97,5150,1
344,RLPacMan,MyGhosts,22.02,2310,1
345,RLPacMan,MyGhosts,14.62,1830,1
346,RLPacMan,MyGhosts,8.45,690,1
347,RLPacMan,MyGhosts,30.68,3620,1
348,RLPacMan,MyGhosts,28.65,2360,1
349,RLPacMan,MyGhosts,53.52,3020,1
350,RLPacMan,MyGhosts,16.13,1490,1
351,RLPacMan,MyGhosts,28.32,2640,1
352,RLPacMan,MyGhosts,19.85,1840,1
353,RLPacMan,MyGhosts,37.18,3620,1
354,RLPacMan,MyGhosts,29.13,2910,1
355,RLPacMan,MyGhosts,24.60,2060,1
356,RLPacMan,MyGhosts,27.05,1660,1
357,RLPacMan,MyGhosts,27.12,2750,1
358,RLPacMan,MyGhosts,81.80,3970,2
359,RLPacMan,MyGhosts,60.40,2780,1
360,RLPacMan,MyGhosts,38.58,2330,1
361,RLPacMan,MyGhosts,13.22,1320,1
362,RLPacMan,MyGhosts,20.52,2620,1
363,RLPacMan,MyGhosts,27.62,1620,1
364,RLPacMan,MyGhosts,52.57,2600,1
365,RLPacMan,MyGhosts,26.15,1510,1
366,RLPacMan,MyGhosts,48.90,4080,1
367,RLPacMan,MyGhosts,25.73,2250,1
368,RLPacMan,MyGhosts,18.83,2120,1
369,RLPacMan,MyGhosts,27.98,1820,1
370,RLPacMan,MyGhosts,26.70,2300,1
371,RLPacMan,MyGhosts,33.78,2600,1
372,RLPacMan,MyGhosts,17.00,1790,1
373,RLPacMan,MyGhosts,27.15,1930,1
374,RLPacMan,MyGhosts,17.43,1950,1
375,RLPacMan,MyGhosts,15.07,1190,1
376,RLPacMan,MyGhosts,38.87,2550,1
377,RLPacMan,MyGhosts,74.43,2960,2
378,RLPacMan,MyGhosts,23.67,2430,1
379,RLPacMan,MyGhosts,17.13,1530,1
380,RLPacMan,MyGhosts,28.97,2860,1
381,RLPacMan,MyGhosts,20.92,2530,1
382,RLPacMan,MyGhosts,30.80,2480,1
383,RLPacMan,MyGhosts,26.47,2140,1
384,RLPacMan,MyGhosts,26.78,2380,1
385,RLPacMan,MyGhosts,26.58,1600,1
386,RLPacMan,MyGhosts,30.73,2460,1
387,RLPacMan,MyGhosts,20.22,2040,1
388,RLPacMan,MyGhosts,20.23,2660,1
389,RLPacMan,MyGhosts,29.82,2840,1
390,RLPacMan,MyGhosts,23.63,2230,1
391,RLPacMan,MyGhosts,51.58,1830,1
392,RLPacMan,MyGhosts,17.43,1680,1
393,RLPacMan,MyGhosts,46.33,2980,1
394,RLPacMan,MyGhosts,13.80,1770,1
395,RLPacMan,MyGhosts,30.33,3170,1
396,RLPacMan,MyGhosts,8.42,820,1
397,RLPacMan,MyGhosts,30.12,1940,1
398,RLPacMan,MyGhosts,25.23,2890,1
399,RLPacMan,MyGhosts,60.27,3050,1
400,RLPacMan,MyGhosts,12.52,890,1
401,RLPacMan,MyGhosts,30.93,3820,1
402,RLPacMan,MyGhosts,15.78,1240,1
403,RLPacMan,MyGhosts,46.20,2870,1
404,RLPacMan,MyGhosts,24.32,3250,1
405,RLPacMan,MyGhosts,16.50,1370,1
406,RLPacMan,MyGhosts,70.90,3100,2
407,RLPacMan,MyGhosts,89.97,3530,2
408,RLPacMan,MyGhosts,17.48,2090,1
409,RLPacMan,MyGhosts,31.68,2480,1
410,RLPacMan,MyGhosts,18.87,2060,1
411,RLPacMan,MyGhosts,37.38,2530,1
412,RLPacMan,MyGhosts,28.70,2360,1
413,RLPacMan,MyGhosts,29.57,2550,1
414,RLPacMan,MyGhosts,24.33,1570,1
415,RLPacMan,MyGhosts,32.93,2540,1
416,RLPacMan,MyGhosts,81.23,7090,2
417,RLPacMan,MyGhosts,21.85,1180,1
418,RLPacMan,MyGhosts,16.22,1730,1
419,RLPacMan,MyGhosts,27.80,2050,1
420,RLPacMan,MyGhosts,21.97,2020,1
421,RLPacMan,MyGhosts,26.87,1840,1
422,RLPacMan,MyGhosts,19.42,2560,1
423,RLPacMan,MyGhosts,18.52,1370,1
424,RLPacMan,MyGhosts,22.68,1730,1
425,RLPacMan,MyGhosts,18.92,1420,1
426,RLPacMan,MyGhosts,33.18,2650,1
427,RLPacMan,MyGhosts,20.70,1660,1
428,RLPacMan,MyGhosts,26.50,2360,1
429,RLPacMan,MyGhosts,20.22,1510,1
430,RLPacMan,MyGhosts,31.82,2750,1
431,RLPacMan,MyGhosts,23.03,1910,1
432,RLPacMan,MyGhosts,28.50,1750,1
433,RLPacMan,MyGhosts,22.27,2080,1
434,RLPacMan,MyGhosts,23.20,1960,1
435,RLPacMan,MyGhosts,79.98,4320,2
436,RLPacMan,MyGhosts,28.25,2150,1
437,RLPacMan,MyGhosts,23.35,2540,1
438,RLPacMan,MyGhosts,14.80,1300,1
439,RLPacMan,MyGhosts,19.60,1850,1
440,RLPacMan,MyGhosts,25.27,2430,1
441,RLPacMan,MyGhosts,30.62,2820,1
442,RLPacMan,MyGhosts,83.55,4360,2
443,RLPacMan,MyGhosts,8.27,720,1
444,RLPacMan,MyGhosts,52.53,3520,1
445,RLPacMan,MyGhosts,36.38,3020,1
446,RLPacMan,MyGhosts,26.80,1940,1
447,RLPacMan,MyGhosts,14.85,1510,1
448,RLPacMan,MyGhosts,25.15,2410,1
449,RLPacMan,MyGhosts,32.25,2140,1
450,RLPacMan,MyGhosts,25.87,2060,1
451,RLPacMan,MyGhosts,28.22,2580,1
452,RLPacMan,MyGhosts,25.97,2580,1
453,RLPacMan,MyGhosts,71.05,3410,2
454,RLPacMan,MyGhosts,46.92,2540,1
455,RLPacMan,MyGhosts,24.45,2790,1
456,RLPacMan,MyGhosts,25.30,2120,1
457,RLPacMan,MyGhosts,32.08,2820,1
458,RLPacMan,MyGhosts,19.62,2040,1
459,RLPacMan,MyGhosts,18.27,1560,1
460,RLPacMan,MyGhosts,35.25,2950,1
461,RLPacMan,MyGhosts,35.65,2350,1
462,RLPacMan,MyGhosts,25.12,1700,1
463,RLPacMan,MyGhosts,30.03,2220,1
464,RLPacMan,MyGhosts,35.80,2530,1
465,RLPacMan,MyGhosts,69.25,2440,2
466,RLPacMan,MyGhosts,36.95,2660,1
467,RLPacMan,MyGhosts,23.10,2550,1
468,RLPacMan,MyGhosts,43.33,3010,1
469,RLPacMan,MyGhosts,39.97,2920,1
470,RLPacMan,MyGhosts,29.05,3210,1
471,RLPacMan,MyGhosts,26.18,2650,1
472,RLPacMan,MyGhosts,22.32,1690,1
473,RLPacMan,MyGhosts,80.15,4940,2
474,RLPacMan,MyGhosts,25.25,2510,1
475,RLPacMan,MyGhosts,27.80,2550,1
476,RLPacMan,MyGhosts,22.03,2120,1
477,RLPacMan,MyGhosts,28.25,2320,1
478,RLPacMan,MyGhosts,45.63,1640,1
479,RLPacMan,MyGhosts,33.77,2320,1
480,RLPacMan,MyGhosts,15.15,1270,1
481,RLPacMan,MyGhosts,26.55,3650,1
482,RLPacMan,MyGhosts,21.37,2090,1
483,RLPacMan,MyGhosts,26.72,2310,1
484,RLPacMan,MyGhosts,31.88,3160,1
485,RLPacMan,MyGhosts,26.68,2210,1
486,RLPacMan,MyGhosts,28.02,2150,1
487,RLPacMan,MyGhosts,22.63,2620,1
488,RLPacMan,MyGhosts,76.80,5200,2
489,RLPacMan,MyGhosts,31.38,2600,1
490,RLPacMan,MyGhosts,43.82,3040,1
491,RLPacMan,MyGhosts,29.55,2280,1
492,RLPacMan,MyGhosts,9.07,860,1
493,RLPacMan,MyGhosts,23.38,1410,1
494,RLPacMan,MyGhosts,24.02,1890,1
495,RLPacMan,MyGhosts,28.92,2090,1
496,RLPacMan,MyGhosts,13.83,1390,1
497,RLPacMan,MyGhosts,26.63,2430,1
498,RLPacMan,MyGhosts,26.18,3070,1
499,RLPacMan,MyGhosts,26.32,2290,1
500,RLPacMan,MyGhosts,21.85,2330,1
501,RLPacMan,MyGhosts,45.42,3030,1
502,RLPacMan,MyGhosts,23.40,2360,1
503,RLPacMan,MyGhosts,20.67,1840,1
504,RLPacMan,MyGhosts,30.77,2360,1
505,RLPacMan,MyGhosts,42.83,2400,1
506,RLPacMan,MyGhosts,21.80,1530,1
507,RLPacMan,MyGhosts,26.03,2070,1
508,RLPacMan,MyGhosts,32.37,2470,1
509,RLPacMan,MyGhosts,7.43,610,1
510,RLPacMan,MyGhosts,34.43,2860,1
511,RLPacMan,MyGhosts,55.62,2880,1
512,RLPacMan,MyGhosts,49.18,3080,1
513,RLPacMan,MyGhosts,18.22,1690,1
514,RLPacMan,MyGhosts,22.85,1930,1
